Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[323s] 267/1353 | routes: 266 | skipped: 0
[324s] 268/1353 | routes: 267 | skipped: 0
[326s] 269/1353 | routes: 268 | skipped: 0
[327s] 270/1353 | routes: 269 | skipped: 0
[328s] 271/1353 | routes: 270 | skipped: 0
[329s] 272/1353 | routes: 271 | skipped: 0
[331s] 273/1353 | routes: 272 | skipped: 0
[332s] 274/1353 | routes: 273 | skipped: 0
[333s] 275/1353 | routes: 274 | skipped: 0
[334s] 276/1353 | routes: 275 | skipped: 0
[335s] 277/1353 | routes: 276 | skipped: 0
[337s] 278/1353 | routes: 277 | skipped: 0
[338s] 279/1353 | routes: 278 | skipped: 0
[339s] 280/1353 | routes: 279 | skipped: 0
[341s] 281/1353 | routes: 280 | skipped: 0
[342s] 282/1353 | routes: 281 | skipped: 0
[343s] 283/1353 | routes: 282 | skipped: 0
[344s] 284/1353 | routes: 283 | skipped: 0
[346s] 285/1353 | routes: 284 | skipped: 0
[347s] 286/1353 | routes: 285 | skipped: 0
[348s] 287/1353 | routes: 286 | skipped: 0
[349s] 288/1353 | routes: 287 | skipped: 0
[351s] 289/1353 | routes: 288 | skipped: 0
[352s] 290/1353 | routes: 289 | skipped: 0
[353s] 291/1353 | routes: 290 | skipped: 0
[354s] 292/1353 | routes: 291 | skipped: 0
[356s] 293/1353 | routes: 292 | skipped: 0
[357s] 294/1353 | routes: 293 | skipped: 0
[358s] 295/1353 | routes: 294 | skipped: 0
[359s] 296/1353 | routes: 295 | skipped: 0
[361s] 297/1353 | routes: 296 | skipped: 0
[362s] 298/1353 | routes: 297 | skipped: 0
[363s] 299/1353 | routes: 298 | skipped: 0
[364s] 300/1353 | routes: 299 | skipped: 0
[366s] 301/1353 | routes: 300 | skipped: 0
[367s] 302/1353 | routes: 301 | skipped: 0
[368s] 303/1353 | routes: 302 | skipped: 0
[369s] 304/1353 | routes: 303 | skipped: 0
[371s] 305/1353 | routes: 304 | skipped: 0
[372s] 306/1353 | routes: 305 | skipped: 0
[373s] 307/1353 | routes: 306 | skipped: 0
[374s] 308/1353 | routes: 307 | skipped: 0
[376s] 309/1353 | routes: 308 | skipped: 0
[377s] 310/1353 | routes: 309 | skipped: 0
[378s] 311/1353 | routes: 310 | skipped: 0
[379s] 312/1353 | routes: 311 | skipped: 0
[381s] 313/1353 | routes: 312 | skipped: 0
[382s] 314/1353 | routes: 313 | skipped: 0
[383s] 315/1353 | routes: 314 | skipped: 0
[384s] 316/1353 | routes: 315 | skipped: 0
[385s] 317/1353 | routes: 316 | skipped: 0
[387s] 318/1353 | routes: 317 | skipped: 0
[388s] 319/1353 | routes: 318 | skipped: 0
[390s] 320/1353 | routes: 319 | skipped: 0
[392s] 321/1353 | routes: 320 | skipped: 0
[393s] 322/1353 | routes: 321 | skipped: 0
[395s] 323/1353 | routes: 322 | skipped: 0
[396s] 324/1353 | routes: 323 | skipped: 0
[398s] 325/1353 | routes: 324 | skipped: 0
[399s] 326/1353 | routes: 325 | skipped: 0
[401s] 327/1353 | routes: 326 | skipped: 0
[402s] 328/1353 | routes: 327 | skipped: 0
