Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
WF2 0GU,10,43,"Kirkhamgate Village Hall, Brandy Carr Road → Outwood Primary Academy Kirkhamgate → Kirkhamgate Village Hall, Brandy Carr Road",1,453,97,1min,qswfI`anH?EE]Kq@SyACK?AOkA_@qCcAf@[yAJIKHZxAbAg@^pCNlABJRxAJp@D\?D
WF2 0GU,10,44,Kowloon → Alverthorpe Garage → Kowloon,1,854,146,2min,ajufIbijHb@iA\w@L]L[f@}Af@{AdAwCFSb@~@Zn@BH}AlCu@rAIHO@]I\HNAHIP[b@w@|AmCCI[o@c@_AGReAvCg@zAg@|AMZM\]v@c@hA
WF2 0GU,10,45,Kylies Sandwich Bar & Custom Cakes → Alverthorpe Garage → Kylies Sandwich Bar & Custom Cakes,1,847,145,2min,}iufIxhjH^_A\w@L]L[f@}Af@{AdAwCFSb@~@Zn@BH}AlCu@rAIHO@]I\HNAHIP[b@w@|AmCCI[o@c@_AGReAvCg@zAg@|AMZM\]v@_@~@
WF2 0GU,10,46,Lindale Methodist Church → The Star Inn → Lindale Methodist Church,1,500,95,1min,aswfIncnHLhANl@Lb@yAzAi@l@ORs@aAKMAu@F]?IOs@Nr@?HG\@t@~@nANSh@m@xA{AMc@Om@MiA
WF2 0GU,10,47,Lofthouse Colliery Disaster Memorial → Sunnyhill Stores → Lofthouse Colliery Disaster Memorial,1,1313,173,2min,_hvfIr~kHVu@sAeC]u@k@qAQ]qAoCIQ{@eBQi@GUkCgKyAsFIc@Ec@Ee@CcA_@PO@EDCFCLBMBGDENA??^QBbADd@Db@Hb@xArFjCfKFTPh@z@dBHPpAnCP\j@pA\t@rAdCWt@
WF2 0GU,10,48,Low Laithes Golf Course → Amazon DLS4 → Low Laithes Golf Course,1,1253,354,5min,cttfI|emHJwDBa@PuBJmADOFIL?DBNNRRZZ@FAPEFCDy@xDGFE?KIECk@fDA`@BT@PCp@?`@EbB?FnC~BDFFBLGDIr@gDBCAC?E@Ef@cC^gBJHNJRPSQOKKIgAjFAD?D@BCBs@fDEHMFGCEGoC_C@XBLHVLLPTUGIEKGGIGQAKAO?MHwBHwB@a@?O
WF2 0GU,10,49,Main Street Fisheries → China And Thai Express → Main Street Fisheries,1,447,98,1min,co{fIbrkH`@LCd@ZDZ@L?n@Al@AUp@EPw@pCa@lC[yBKo@CQKy@]cCZNJ@Be@a@M
WF2 0GU,10,50,Methodist Church → BP Manor Service Station → Methodist Church,1,459,83,1min,mn{fInwkHAE]cCZNJ@ZDZ@L?n@Al@AR_@f@dAOZGN_AMw@pCa@lCg@iDCQIs@
WF2 0GU,10,51,Mill View Stores → Sun Bo → Mill View Stores,1,275,80,1min,g}tfIpajHOs@MWMWOWIUSc@CIJSFSGEi@}@BDd@v@FDGRKRBHRb@HTNVLVLVNr@
WF2 0GU,10,52,NAV Mini Market → Phoenix Young People's Centre → NAV Mini Market,1,411,90,1min,_aufItriHJJLT[v@c@pAGReAvCg@zAGIWKVJFHf@{An@eBTq@FSb@qAZw@MUKK
WF2 0GU,10,53,NPAS 31 - Carr Gate → West Yorkshire Police Learning & Development Centre → NPAS 31 - Carr Gate,1,913,289,4min,{nyfIxlkHy@i@MJI@GYCSQVEDGDIJGLGD?FAD@L?XBfABr@F~AJxCB`@YDKB_@DG?CEUe@GICMCICQAIAK?KIBi@FE@GAEEAIKyCDA??E@JxC@HDDF@DAh@GHC?J@J@HBPBHBLFHTd@BDF?^EJCXECa@KyCG_BCs@CgA?YAM@E?G?MFSJOFIFETABRFXHALKx@h@
WF2 0GU,10,54,One Stop Coffee Shop → Main Street Fisheries → One Stop Coffee Shop,1,647,153,2min,y|{fIllkHAMAUpBd@TJnAl@^N\NPJVNj@b@ZXf@`@ZNJ@Be@a@M??`@LCd@KA[Og@a@[Yk@c@WOQK]O_@OoAm@UKqBe@@T@L
WF2 0GU,10,55,Oriental Chef → The Star Inn → Oriental Chef,1,461,91,1min,urwfIhenH@NNl@Lb@yAzAi@l@ORs@aAKMAu@F]?IOs@Nr@?HG\@t@~@nANSh@m@xA{AMc@Om@AO
WF2 0GU,10,56,Ossett Fire Station → Silkwood Farm → Ossett Fire Station,1,455,147,2min,}gtfIlbmHI^?BA?A?AAQKR_A@GVmAnB~ALo@VR\ZPaA??Q`A][WSMn@oB_BWlAAFS~@PJ@@@?@??CH_@
WF2 0GU,10,57,Ossett Flushdyke Junior and Infant School → JB's Cafe & Bistro → Ossett Flushdyke Junior and Infant School,1,7147,467,7min,eptfIzapHW|AQ`BQjBGlAIdCEvCGnEQnLIdCSvC_@|De@vCg@tBs@dCqAvCwL`SwBhDmDxF{AhCiBbD{@lBoB`Fq@xBe@xBg@xCYpCKzAG`BChCD|BRlDXrCj@`Ev@bDr@tCLRLHP@HCVAJ@FBFFFJFVBLFf@@H?PAPEPELIHGDGBk@EEAGEGGEKEMCS?U?]UmAaAmDq@cDm@eE[sCSoDCu@AiA@kCDcBJ}AToCd@_Dh@qBp@cCvBuFx@kBbBkDrAgChHiL`H}KnCoErAyCr@uBj@wBf@uCd@uDRuCHoCNkLDwBFwFAi@BoANgCDu@?c@A[ESCOM_@Oe@G[Gc@Ee@Cy@H}@Lk@N]V]TS^MP?P@b@NlApATRz@XAf@EzA\EHLH?H{@FWJg@@qBEGa@D]?CbBAf@GDI?GAIGUq@U_@mAqAc@OQAQ?_@LURW\O\Mj@I|@Bx@Dd@X`@RLRAPGLQJUlA{DJa@p@sBt@aBzDkIFMP_@VaADg@?c@A]E[G]Ia@IOGYG]A[AW?W@wD@y@@[@YD]H[Rg@POPMLINEP@RBTLVXJXFVDVDX@\?ZAtDA|@AZA\ETW~@MZa@fAcAxBkAjCkDhHq@zAq@nBy@bDWvAAF
